Title,Rating,Genre,Type,Episode Count,English,Romaji,漢字,Synopsis
12-sai.: Chicchana Mune no Tokimeki 2nd Season,6.85,"Romance, School, Shoujo",TV,12,12 years old. : Little girl's crush 2nd theater,12-sai.: Chicchana Mune no Tokimeki 2nd Season,12歳。～ちっちゃなムネのトキメキ～,"The story begins with Hanabi, a sixth-grade girl who is neither an adult nor a child. She deals with issues such as accidentally witnessing her homeroom teacher kissing, and worrying about experiencing physiological changes before her friends. The series depicts a 12-year-old girl's innocent worries and first love.

(Source: ANN)"
2020 Nyeon Ujuui Wonder Kiddy,5.89,"Sci-Fi, Space",TV,13,2020 Wonder Kiddy,2020 nyon・ujui wandaakidi,2020 ニョン・ウジュイ ワンダーキディ,
21 Emon,6.19,"Comedy, Sci-Fi, Space",TV,39,21 Emon,21emon,21エモン,"In 2018 a young boy named 21 Emon dreams of becoming a space pilot and exploring space in general. He is the heir to a long line of hotel owners, which dates back to the founder of during the Tokugawa shogunate. Since the Earth has become a planet visited by tourists from all over the space, 21 Emon has to help out his family's business or they'll go bankrupt."
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,6.24,"Adventure, Kids",Movie,1,3 Choume no Tama: Please! Find Momo-chan as your girlfriend! !,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,3丁目のタマ おねがい! モモちゃんを捜して!!,Tama and Friends movie.
3 Choume no Tama: Uchi no Tama Shirimasenka?,6.74,Adventure,TV,35,3. Tama: Would you like to see our Tama?,3 Choume no Tama: Uchi no Tama Shirimasenka?,３ ちょうめ の たま： うち の たま しりませんか？,
3-tsu no Kumo,5.1,Dementia,Movie,3,Trilogy about Cloud,3-tsu no Kumo,３つの雲,"Plot Synopsis : Trilogy about clouds, that is, an omnibus movie consisting of three different stories of clouds. It is based on a charcoal drawing. The clouds without the fixed form are the worlds which surround us. 

1 ""Breathing Cloud"" 3min 10sec
People’s body and soul transform into big a cloud, and are mixed with erotic shapes. 

2 ""Looking At A Cloud."" 5min 45sec
Something happens at the junior high school. When a boy starts to draw a cloud, that drawing begin to move and eat the students... 

3 ""From The Cloud"" 3min 50sec
A funny little story about people living on the soft cloud. A look at their daily life, in the morning, they listen to the bell and begin to go down the sky."
30-sai no Hoken Taiiku,6.84,"Ecchi, Parody, Romance, Seinen",TV,12,A Thirty-Year Old's Health and Physical Education,30-sai no Hoken Taiiku,30歳の保健体育,"Based on Mitsuba and Ichijinsha's 30-sai no Hoken Taiiku (Health and Physical Education for 30-Year-Olds) guidebook. The guide is aimed at men in their 30s who have not experienced romance or sex with women yet.

Imagawa Hayao is a 30-year-old virgin bachelor. One day, a cupid descends from heaven with the express purpose of forcing him to graduate from virginity. Thus unfolds a pure love story between a 30-year-old bachelor and a 30-year-old bachelorette.

(Source: AniDB)"
4.Eyes,4.15,Dementia,Movie,1,4.Eyes,4.me,4.目,"The human eye, a well-known motif in psychedelic culture, is duplicated and intensified in this cinematic trip. Drawing from his experiences designing discotheques, Tanaami presents two prints of the same film in double projection with a time delay ––one projected a few seconds earlier than the other–– to suggest the mind slipping out of consciousness.

(Source: Collaborative Cataloging Japan)"
663114,5.61,Fantasy,Movie,1,663114,663114,663114,"663114 is a short but hard-hitting monologue of a 66-year-old cicada. The insect draws parallels between the catastrophes of Hiroshima and Fukushima and poses a fundamental question about the future of our planet.

66 is the number of years since Hiroshima and Nagasaki were destroyed by Little Boy and Fat Man. 3/11 is the date of the 2011 Tohoku earthquake and following disastrous tsunami. 4 is the number of reactors emitting radiation from the Fukushima Daichii plant.

(Source: AniDB)"
77Danui Bimil,3.59,"Action, Drama",Movie,1,77Danui Bimil,77Danui Bimil,77Danui Bimil,"Sang-ho and Sun-ja are kidnapped by someone and live in brutal abuse while performing acrobatics in a circus troupe called the ""77th Dan"". 

One day their uncle comes to visit them and they try to escape, but when Sun-ja is captured by the circus, a black hooded person, the object of Japanese fear, suddenly appears to help them...

(Source: Daum; translated)"
8-gatsu no Symphony: Shibuya 2002-2003,6.79,Music,Movie,1,Symphony in August,8-gatsu no Symphony: Shibuya 2002-2003,8月のシンフォニー ―渋谷 2002～2003,"Based on the autobiography of the singer Kawashima Ai. The name of the book is ""Saigo no Kotoba"" (""The Last Words"") and it follows Kawashima Ai's life after her mother's death.

The story chronicles her journey to make her dream come true to be a singer and, among other things, how she used to perform for free on Tokyo's streets."
91 Days,7.93,"Action, Drama, Historical",TV,12,91 Days,91nichi,91日,"As a child living in the town of Lawless, Angelo Lagusa has witnessed a tragedy: his parents and younger brother have been mercilessly slaughtered by the Vanetti mafia family. Losing everything he holds dear, he leaves both his name and hometown behind, adopting the new identity of Avilio Bruno.

Seven years later, Avilio finally has his chance for revenge when he receives a mysterious letter prompting him to return to Lawless. Obliging, he soon encounters the Vanetti don's son, Nero, and seeks to befriend him using the skills he has quietly honed for years.

Set during the Prohibition era, 91 Days tells the story of Avilio's dark, bloodstained path to vengeance, as he slowly ends each of the men involved in the killing of his family."
A-Channel,7.06,"Comedy, School, Seinen, Slice of Life",TV,12,A-Channel,Achanneru,Aチャンネル,"Tooru and Run have been best friends forever, so when Tooru learns that she's managed to get into the same high school as Run, she runs to tell her... only to find Run in a compromising position with yet another girl, Yuko. Needless to say, that makes things a bit awkward at school, with Tooru fending off those who might be interested in Run while Yuko and their other girlfriend, Nagi, have to deal with Run's own penchant for drama.

(Source: Sentai Filmworks)"
A-jang.com,5.57,Fantasy,TV,13,A-jang.com,A-jang.com,A-jang.com,"The spirit world, the real world and the Internet cyber world maintain peace and harmony by the Dimension stone, which was created by the three deities named Dragon King, Zeus and Zoolu. One day, Doddery had a date therefore he switched the stone guard duty with the Super Baby by bribing him with milk. A-jang fights hard with LuPin and Pigu till the end but in that process something goes wrong with the Dimension Stone and due to that unusual energy Spirit world becomes chaotic. Many spirits including LuPin and Pigu falls into cyber space and A-jang just manages to escape. 

(Source: tvkanald.rs)"
A.D. Police (TV),6.16,"Action, Mecha, Sci-Fi, Shounen",TV,12,A.D. Police: To Protect and Serve,adobansudoporisu,アドバンスドポリス,"Set a few years before Bubblegum Crisis Tokyo 2040, A.D. Police chronicles the tales of Mega-Tokyo's special police division designed to control rogue Boomers in the city. A.D. Police Officer Kenji Sasaki faces a major dilemma: he loses another partner to a rabid boomer. A day after he's sent off-duty, he receives a new partner in the form of German cop Hans Kleif. Funny thing is that Kenji sucker-punched Hans at a bar the night before. Not only does Kenji face the everyday task of controlling Boomers, he has to learn to adjust with his new partner. 

(Source: ANN)"
A.LI.CE,5.38,Sci-Fi,Movie,1,A.LI.CE,A.LI.CE,A.LI.CE,"In the year 2000, Alice Hayashi wins a trip to the moon in a sweepstake. However, when her shuttle launches, something goes terribly wrong, and the next thing she knows, she has crashed somewhere in a frozen wasteland. Before she can get her bearings, strange soldiers begin to attack her, forcing her to flee.

Eventually, Alice meets a young man called Yuan, who tells her that she is in Lapland in the year 2030. The soldiers pursuing her belong to Nero, an enigmatic leader who controls the world through his supercomputer. He is also responsible for reducing the Earth's population by over seven billion. Convinced that Nero has something to do with her time jump, Alice, Yuan, and the android maid Maria journey to Kingdom, the shadowy fortress that Nero rules from."
AKB0048,7.55,"Music, Sci-Fi",TV,13,AKB0048,AKB0048,AKB0048,"After an interplanetary war at the beginning of the 21st century, planet Earth has been left in ruins, with much of its ecosystem completely destroyed. Because it was no longer possible to live a normal life on this planet, the inhabitants are forced to move on to other planets where life will, hopefully, be more comfortable.

The Deep Galactic Trade Organization, a totalitarian government that affects many of the newly inhabited planets, has somehow come to the conclusion that music is a source of evil, and that it must be banned and destroyed for good. The talent group AKB0048 is soon formed, based on the original AKB48 members that once lived on Earth. Even though their music is now considered universally illegal, they make it their mission to bring their music back to life by travelling from one planet to another and holding as many concerts as they possibly can. They must undergo a whole new set of training methods in order to become the best that they can possibly be, while also avoiding the constant danger of being arrested because of their music. Join interplanetary popstars AKB0048 as they try to save the world－with music!"
AKB0048: Next Stage,7.84,"Music, Sci-Fi",TV,13,AKB0048: Next Stage,AKB0048:nekusutosuteeji,AKB0048:ネクストステージ,"In the year since the 77th generation understudies joined AKB0048, the Deep Galactic Trade Organization  and DES have stepped up their attacks on entertainment. In response, AKB0048 brings back the general elections and the center nova position. The understudies are now thrusted into a new competition directly against the successors. But as AKB0048 brings back policies not seen since Acchan's disappearance, a new more powerful enemy is quietly moving behind the scenes.

(Source: ANN)"
AWOL,5.33,"Action, Military, Sci-Fi, Space",TV,12,AWOL,eiuooru,エイウォール,"Cyress is a peaceful place. People are going about their lives. Two lovers embrace, a family throws a birthday party for their child, a group of people party at a local restaurant. But suddenly, their surroundings explode into smoke and flame. A group of terrorists has snuck through the planetary defenses and has begun an assault. Defenseless, there is little the people of Cyress can do. As the military scrambles to discover what happened, the terrorists manage to hijack seven PDP missiles, which are capable of destroying an entire planet. These terrorists, who call themselves ""Solomon"" can now hold entire planets hostage! They must not be stopped.

(Source: Themanime)"
Aa Harimanada,6.25,"Martial Arts, Seinen, Sports",TV,23,Aa Harimanada,aaharimanada,ああ播磨灘,"When Harimanada makes his grand entrance into the world of Sumo, he causes complete uproar throughout the entire arena. The novelty headmask is clearly not a good idea but not content with just ruffling the feathers of all the spectators, he sends the the entire Sumo Association into a frenzy when he arrogantly declares that he will surpass the legendary Futabayama's consecutive run of 69 victories. Should he fail to achieve such a feat, he will immediately retire all together.

Harimanada's impudent remarks cause a huge backlash as every high-ranking Yokuzuna wants the chance to knock him down and humiliate him for showing such arrogance.

Thus begins Harimanada's journey to the top as he battles to topple the entire Sumo hierarchy!"
Aa! Megami-sama! (TV),7.45,"Comedy, Magic, Romance, Seinen, Supernatural",TV,24,Ah! My Goddess,aatsumegamisamatsu,ああっ女神さまっ,"In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted.

Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance."
Aa! Megami-sama! Movie,7.65,"Comedy, Magic, Romance, Seinen, Supernatural",Movie,1,Ah! My Goddess: The Movie,gekijouban aatsumegamisamatsu,劇場版　ああっ女神さまっ,"For centuries, a god named Celestin has been imprisoned on the moon for betraying the kingdom of Yggdrasil. Released by the fairy Morgan Le Fey, Celestin travels to Earth to reunite with his former pupil, the goddess Belldandy. Things go awry as Celestin erases Belldandy's memories of her boyfriend Keiichi and uses her as a catalyst to wreak havoc on Earth and Yggdrasil."
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,7.04,"Comedy, Magic, Supernatural",TV,48,Oh! My Goddess: The Adventures of Mini-Goddess,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,ああっ女神さまっ 小っちゃいって事は便利だねっ,"A large collection consisting of the adventures of the Goddesses featured in the anime and manga series Ah My Goddess. Parodies of other works, and a large number of jokes pervade this series of shorts in which the Goddesses torture and hang out with their friend Gan the rat."
Aa! Megami-sama!: Sorezore no Tsubasa,7.69,"Comedy, Magic, Romance, Seinen, Supernatural",TV,22,ah! Megami-sama! : Each wing,Aa! Megami-sama!: Sorezore no Tsubasa,ああ！ めがみーさま！： それぞれ の つばさ,
Aachi wa Ssipak,6.9,"Action, Comedy",Movie,1,Aachi and Ssipak,Aachi wa Ssipak,Aachi wa Ssipak,"After the world ran out of all traditional energy sources, only one remained—human excrement. To encourage citizens to produce as much waste as possible, the government implants a chip in the anus at birth, which provides citizens with ""juicybars"" every time it detects defecation. Juicybars are highly addictive narcotics that sometimes transform their users into mutant blue dwarfs with extreme constipation. These mutant addicts make up the ""Diaper Gang,"" those who live underground and are focused on trying to obtain juicybars.

Aachi and Ssipak are two small-time crooks who steal and sell juicybars to make it on the streets. When they meet a beautiful woman who has the anal chips of every Diaper Gang member implanted in her, producing dozens of juicybars with every dump, Aachi and Ssipak strike it rich. However, with both the government and the Diaper Gang on their tails, the two struggle to protect their newfound riches."
Abarenbou Rikishi!! Matsutarou,6.2,"Seinen, Sports",TV,23,Rowdy Sumo Wrestler Matsutaro!!,Abarenbou Rikishi!! Matsutarou,暴れん坊力士！！松太郎,"Matsutarou Sakaguchi is a giant roughneck man with strength far beyond ordinary people. He never uttered words like ""work hard,"" ""strive,"" and ""dream"" like the typical shounen manga protagonist. However, he is stronger than anyone and peerless in sumo wrestling. His greatest weakness is his own carefree personality. He grows into a full-fledged sumo wrestler.

(Source: ANN)"
Abenobashi Mahou☆Shoutengai,7.38,"Comedy, Ecchi, Fantasy, Parody",TV,13,Magical☆Shopping Arcade Abenobashi,Abenobashi Mahou☆Shoutengai,アベノ橋魔法☆商店街,"Satoshi ""Sasshi"" Imamiya believes his life is in shambles, as only a 12-year-old can. Having lost his card collection, his childish dilemmas worsen when he learns that his childhood friend, Arumi Asahina, will be moving away.

Suddenly, their issues are dashed aside for the surreal, and they find themselves transported away through bizarre worlds of science fiction, magic, and war. Any attempt to escape only catapults them into another alien land. Soon, the two come to a realization: every world is just a reimagining of their hometown. But there are two unfamiliar faces—the voluptuous Mune-mune and the elusive blue-haired Eutus—and they just might be the key to escaping their predicament.

Abenobashi Mahou☆Shoutengai follows Sasshi and Arumi's comedic exploits as they desperately attempt to return home. However, when the pair unravel a tale spanning generations, they begin to wonder if the cause of their situation is more personal than they thought. Is returning home truly what they desire?"
Accel World,7.62,"Action, Game, Romance, School, Sci-Fi",TV,24,Accel World,akuseru・waarudo,アクセル・ワールド,"Haruyuki Arita is an overweight, bullied middle schooler who finds solace in playing online games. But his life takes a drastic turn one day, when he finds that all his high scores have been topped by Kuroyukihime, the popular vice president of the student council. She then invites him to the student lounge and introduces him to ""Brain Burst,"" a program which allows the users to accelerate their brain waves to the point where time seems to stop. Brain Burst also functions as an augmented reality fighting game, and in order to get more points to accelerate, users must win duels against other players. However, if a user loses all their points, they will also lose access to Brain Burst forever.

Kuroyukihime explains that she chose to show Haruyuki the program because she needs his help. She wants to meet the creator of Brain Burst and uncover the reason of why it was created, but that's easier said than done; to do so, she must defeat the ""Six Kings of Pure Color,"" powerful faction leaders within the game, and reach level 10, the highest level attainable. After the girl helps Haruyuki overcome the bullies that torment him, he vows to help her realize her goal, and so begins the duo's fight to reach the top."
Accel World: Infinite∞Burst,7.03,"Action, Game, Romance, School, Sci-Fi",Movie,1,Accel World: Infinite∞Burst,akuseru・waarudo INFINITE∞BURST(infinitto・baasuto),アクセル・ワールド INFINITE∞BURST（インフィニット・バースト）,"Some time after the events involving Burst Linker Dusk Taker, Kuroyukihime recalls recruiting Haruyuki Arita to the ""Brain Burst"" program—an application that allows players to accelerate their cognitive functions until time seems to stop. Since his arrival, Haruyuki has risen to fame among the other Burst Linkers and has been helping Kuroyukihime achieve her goal of reaching the highest level in the game.

During a territorial battle with their legion, Nega Nebulus, Haruyuki and his friends are kicked out of the program after a destructive storm in-game. All over Tokyo, security cameras are malfunctioning, which Kuroyukihime deduces is related to the Brain Burst glitch. Determined to fix the problem, Nega Nebulus must recruit the other legions to find the source of the issue and restore the acceleration ability."
Acchi Kocchi,7.59,Dementia,Movie,1,Place to Place,Acchi Kocchi,あっちこっち,"Feelings may come and go, but true love always remains in the heart. Tsumiki Miniwa is in love with her best friend, Io Otonashi. For her, confessing is nearly impossible; but to her friends, they seem to be the perfect match. Cute and petite, Tsumiki comes off more as a friend, and Io's attitude toward her is friendlier than toward others. Despite the constant teasing and obvious hints that his friends have been dropping, Io always seems to miss the signs. 

Throughout her everyday school life, Tsumiki spends time with her friends and Io. Will she finally muster enough courage to confess her true feelings?"
Acchi Kocchi (TV),7.65,"Comedy, Romance, School, Seinen, Slice of Life",TV,12,Acchi Kocchi (TV),Acchi Kocchi (TV),Acchi Kocchi (TV),
Ace wo Nerae!,7.08,"Drama, Romance, School, Shoujo, Sports",TV,26,Aim for sweat!,Ace wo Nerae!,エースをねらえ!,"On her first day at Nishi High School, 15-year-old Hiromi Oka is inspired by top player Reika ""Ochoufujin"" Ryuuzaki to take up tennis. Shortly after joining the school's tennis club, she encounters Jin Munakata, the club's new coach. Munakata puts everyone under rigorous training that even puts Ochoufujin to shame. Despite the hardships, Hiromi's determination prompts the coach to select her as part of the club's main players. Because of this, Hiromi must endure the peer pressure from her seniors to become an ace tennis player.

(Source: ANN)"
Ace wo Nerae! (1979),6.95,"Drama, Romance, School, Shoujo, Sports",Movie,1,Aim for the Ace! (1979),Ace wo Nerae! (1979),エースをねらえ！,"High school freshman Hiromi joins the tennis club because of her admiration for Ryuzaki. Ryuzaki is a senior, who's the best tennis player on the team and also nicknamed ""Ochoufujin"", (""Madame Butterfly""), because of her elegance on the tennis court. However, the new coach, Jin Munakata, wants the inexperienced Hiromi to play in a forthcoming tournament.

Due to this, Hiromi considers quitting tennis for good but, in the depth of her soul, she soon realizes that she loves tennis after all. She returns to the club and, under Munakata's coaching, her talent starts to bloom.

In the end, Hiromi develops a strong emotional bond with her coach, not knowing that Munakata is risking his life because of a chronic illness.

(Source: AnimeNfo)"
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,6.02,"Comedy, Mecha, Police, Sci-Fi",TV,12,Active Raid,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,アクティヴレイド　－機動強襲室第八係－,"In a futuristic, post-disaster Tokyo, the ""Special Public Security Fifth Division Third Mobile Assault Eighth Unit,"" or ""Unit Eight,"" is a police unit specializing in handling criminals who wield dangerous wearable technology called ""Willwear."" Equipped with Willwear of their own, the squadron is often criticized by the public for their carelessness and disregard for protocol.

Sent in by the government as an undercover agent with special instructions from the higher-ups, Asami Kazari is Unit Eight's newest member. Determined to straighten out what she expects to be a group of incompetent fools, she instead finds a team of well-intentioned experts who use very effective—albeit unorthodox—methods, hindered by strict regulations. With their newest member by their side, Unit Eight fights crime and overcomes unexpected adversaries in Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari."
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,6.58,"Comedy, Mecha, Police, Sci-Fi",TV,12,Active Raid Second,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,アクティヴレイド　－機動強襲室第八係－ 2nd,"Set in a part of Tokyo that has descended into a quagmire, the story follows Unit 8 of the 5th Special Public Security Section's 3rd Mobile Assault Division, popularly called ""The Eighth,"" who don powered armor ""Willwear"" exoskeletons to counter the rise in crime. 

(Source: ANN)"
Adachi-ga Hara,6.08,Sci-Fi,Movie,1,Adachi is angry,Adachi-ga Hara,安達が原,"This is a story of an astronaut who is sent to a penal colony planet, and there meets an old woman who shows him the truth of life and love. Originally a short Manga in ""The Lion Books,"" it was made into an animated series. The chief character, Jess, fights to bring down the dictator of the federation of the Earth and other planets, but is arrested by the federal authorities and sent to a penal colony planet. The story focuses on him, using Japanese Noh drama ""Kurozuka"" as a motif.

(Source: AniDB)"
Adventures in Beauty Wonderland,4.32,Dementia,Movie,1,Adventures in Beauty Wonderland,byuuteii wandaarandonobouken,ビューティー ワンダーランドの冒険,One of Keiichi Tanaami's most recent short movies.
Afro Samurai,7.41,"Action, Adventure, Samurai",TV,5,Afro Samurai,afurosamurai,アフロサムライ,"When he was a young boy, Afro witnessed his father be cut down in a duel at the hands of a man known only as Justice. After taking the life of Afro's father, Justice cast aside his Number Two headband and took the Number One to claim its godly powers as his own.

Years later, having obtained the Number Two headband which grants him the right to challenge the Number One, Afro moves forward in his hunt for revenge on the man who murdered his father. There is just one thing that stands in his way—everyone else in the world! Though the Number One can only be challenged by the Number Two, the Number Two can be challenged by anyone. As his enemies gather to try and take the title of Number Two, Afro must fight through a myriad of foes and obstacles if he hopes to reach the Number One and claim vengeance once and for all."
Afro Samurai Movie,7.59,"Action, Adventure, Samurai",Movie,1,Afro Samurai the Movie,Afro Samurai Movie,Afro Samurai Movie,A movie adaptation of the TV series.
Afro Samurai: Resurrection,7.46,"Action, Adventure, Samurai",Movie,1,Afro Samurai: Resurrection,afurosamurai Resurrection,アフロサムライ Resurrection,"After obtaining the Number One headband, which proclaims him to be the best of all warriors, Afro spends most of his days in peace, though his nightmare-filled nights are not so tranquil. His life crescendos into chaos once again when Jinno and Sio, his former friends from long ago, take the headband from him, as well as the remains of his father. Challenged by Sio to don the Number Two headband again and exact revenge on them for their actions, Afro embarks on another journey as the wearer of said headband—an item for which anyone would kill him.

Afro Samurai: Resurrection follows Afro as he fights a second series of battles against all manner of foes, wading through the sea of corpses in his wake so that he may once again quench his never-ending thirst for revenge."
After War Gundam X,7.39,"Adventure, Drama, Mecha, Sci-Fi, Space",TV,39,After War Gundam X,kidoushinseikigandamuX,機動新世紀ガンダムX,
Agatha Christie no Meitantei Poirot to Marple,6.95,"Historical, Mystery",TV,39,Agatha Christie's Great Detectives Poirot and Marple,agasa・kurisuteiinomeitanteipowarotomaapuru,アガサ・クリスティーの名探偵ポワロとマープル,"Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspense—his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead."
Agigongryong Doolie (2009),5.5,"Adventure, Kids",TV,26,Little Dino Dooly (2009),Agigongryong Doolie (2009),Agigongryong Doolie (2009),The story of a baby dinosaur and his friends.
