name,lang,confidence,english,japanese,kanji
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,ja,1.0,Acchie Lid: Kidō Kyōshu Shitsutsu Dai Hachigakari,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,あｃちゔぇ らいｄ： きどう きょうしゅうしつ だい はち がかり
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,ja,0.89967847,Acchie Lid: Kidō Kyōshu Shitsu Dai Hachigakari 2nd,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,あｃちゔぇ らいｄ： きどう きょうしゅうしつ だい はち がかり ２んｄ
Adachi-ga Hara,ja,0.9071608,Adachi is angry,Adachi-ga Hara,足立ーが 腹
Adventures in Beauty Wonderland,en,1.0,Adventures in Beauty Wonderland,byuuteii wandaarandonobouken,ビューティー ワンダーランドの冒険
Aesops World,en,1.0,Aesops World,isoppuwaarudo,イソップワールド
Afro Samurai,en,0.11833781,Afro Samurai,Afro Samurai,Afro Samurai
Afro Samurai Movie,en,0.31714353,Afro Samurai Movie,Afro Samurai Movie,Afro Samurai Movie
Afro Samurai: Resurrection,en,0.44255674,Afro Samurai: Resurrection,afurosamurai:fukkatsu,アフロサムライ：復活
After War Gundam X,en,1.0,After War Gundam X,kidoushinseikigandamuX,機動新世紀ガンダムX
Agatha Christie no Meitantei Poirot to Marple,el,0.601235,Agatha Christie no Meitantei Poirot to Marple,Agatha Christie no Meitantei Poirot to Marple,Agatha Christie no Meitantei Poirot to Marple
Agigongryong Doolie (2009),zh-CN,0.45911816,Agigongryong Doolie (2009),Agigongryong Doolie (2009),Agigongryong Doolie (2009)
Agigongryong Doolie (Movie),en,0.8209163,Agigongryong Doolie (Movie),agigonryon・douurii (eiga),アギゴンリョン・ドゥーリー (映画)
Ahiru Rikusentai,ja,0.89623874,duck land squadron,Ahiru Rikusentai,アヒル 陸戦隊
Ahiru no Otegara,ja,1.0,Duck's exploits,Ahiru no Otegara,アヒル の お手柄
Ai,en,0.7002618,Ai,ai,アイ
Ai City,fr,0.3699484,Ai City,Ai City,Ai City
Ai Shoujo Pollyanna Story,en,0.36558694,Ai Shoujo Pollyanna Story,eotomeporiannasutoorii,愛少女ポリアンナストーリー
Ai Tenchi Muyou!,zh-CN,0.5646191,Ai Tenchi Muyou!,Ai Tenchi Muyou!,Ai Tenchi Muyou!
Ai Tenshi Densetsu Wedding Peach,ja,1.0,love angel legend wedging pair ch,Ai Tenshi Densetsu Wedding Peach,愛 天使 伝説 ウェッヂんｇ ペアｃｈ
Ai no Gakko Cuore Monogatari,ja,0.9279743,Gakko Cuore Story of Love,Ai no Gakko Cuore Monogatari,愛 の ガッコ クオレ 物語
Ai no Senshi Rainbowman,ja,0.7045697,Warrior of Love Line Book W Man,Ai no Senshi Rainbowman,愛 の 戦士 ライン簿ｗマン
Ai no Wakakusa Monogatari,ja,1.0,Little Women of Love,Ai no Wakakusa Monogatari,愛 の 若草 物語
Ai no Wakakusa Yama Monogatari,ja,1.0,Wakakusa Mountain Story of Love,Ai no Wakakusa Yama Monogatari,愛 の 若草 山 物語
Ai to Yuuki no Pig Girl Tonde Buurin,ja,0.4614468,Day of love and courage,Ai to Yuuki no Pig Girl Tonde Buurin,愛 と 勇気 の 日ｇ 技ｒｌ トンで 部ウリン
Aikatsu!,ja,1.0,Aikatsu!,Aikatsu!,アイカツ！
Aikatsu! Movie,ja,0.98913056,Aikatsu! Movie,Aikatsu! Movie,アイカツ！ もヴィエ
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,ja,0.26479536,Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!
Air,en,0.9321149,Air,kuuki,空気
Air Gear,gd,0.48079196,Air Gear,Air Gear,Air Gear
Air Master,en,0.8814728,Air Master,eamasutaa,エアマスター
Air Movie,en,0.9591573,Air Movie,eamuubii,エアムービー
Aishite Knight,ja,0.9227397,"Love me, Kght",Aishite Knight,愛して Ｋにｇｈｔ
Aishiteruze Baby★★,ja,1.0,Aishiteruze Baby★★,Aishiteruze Baby★★,Aishiteruze Baby★★
Aitsu to Lullaby: Suiyobi no Cinderella,ja,0.97251695,That guy and by: I'm in love with him.,Aitsu to Lullaby: Suiyobi no Cinderella,あいつ と ぅっぁｂｙ： すいよび の しんでれっぁ
Aiura,ha,0.25661513,Aiura,Aiura,Aiura
Ajin,ha,0.8023256,Ajin,Ajin,Ajin
Ajin Part 1: Shoudou,zh-CN,0.51159984,Ajin Part 1: Shoudou,Ajin Part 1: Shoudou,Ajin Part 1: Shoudou
Ajin Part 2: Shoutotsu,ja,0.9672938,Ajin Part 2: Shototsu,Ajin Part 2: Shoutotsu,あじん ぱｒｔ ２： しょうとつ
Ajin Part 3: Shougeki,ja,0.7414712,Ajin Part 3: Shogeki,Ajin Part 3: Shougeki,あじん ぱｒｔ ３： しょうげき
Akachan to Boku,ja,1.0,baby and Me,Akachan to Boku,赤ちゃん と 僕
Akadou Suzunosuke,ja,0.9656665,Akado Suzunosuke,Akadou Suzunosuke,赤胴 鈴之助
Akagami no Shirayuki-hime,ja,1.0,red-haired snow white,Akagami no Shirayuki-hime,赤髪 の 白雪ー姫
Akagami no Shirayuki-hime 2nd Season,ja,0.98445046,Red-haired Snow White 2nd Se Asaomi,Akagami no Shirayuki-hime 2nd Season,赤髪 の 白雪ー姫 ２んｄ せ朝臣
Akage no Anne,ja,0.9654715,redhead sketch,Akage no Anne,赤毛 の 案絵
Akage no Anne: Green Gables e no Michi,ja,0.77964234,Akage no Ane: Gren ga bes E no Michi,Akage no Anne: Green Gables e no Michi,あかげ の あんえ： Ｇれえん がｂぇｓ え の みち
Akahori Gedou Hour Rabuge,jw,0.54203314,Akahori Gedou Hour Rabuge,Akahori Gedou Hour Rabuge,Akahori Gedou Hour Rabuge
Akai Koudan Zillion,ha,0.2535178,Akai Koudan Zillion,Akai Koudan Zillion,Akai Koudan Zillion
Akai Kutsu! Onnanoko!,ja,1.0,Red shoes! girl!,Akai Kutsu! Onnanoko!,赤い 靴！ 女の子！
Akakichi no Eleven,ja,0.91300744,Even of the Red Base,Akakichi no Eleven,赤基地 の えぇヴェン
Akame ga Kill!,ja,0.22842902,Akame ga Kill!,Akame ga Kill!,Akame ga Kill!
Akane-chan,en,0.5565981,Akane-chan,akanechan,あかねちゃん
Akatsuki no Yona,ja,1.0,dawn of dawn,Akatsuki no Yona,暁 の よな
Akazukin Chacha,ja,0.95613635,Little Red Riding Hood Chacha,Akazukin Chacha,赤ずきん 茶々
Aki no Kanade,ja,0.89041966,Autumn Kanade,Aki no Kanade,秋 の かなで
Aki no Puzzle,it,0.64362764,Aki no Puzzle,Aki no Puzzle,Aki no Puzzle
Akiba-chan,ar,0.55531466,Akiba-chan,Akiba-chan,Akiba-chan
Akihabara Dennou-gumi,sk,0.43144673,Akihabara Dennou-gumi,Akihabara Dennou-gumi,Akihabara Dennou-gumi
Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,ja,1.0,Akihabara Denou Gumi: 2011-Year's Summer Vacation,Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,あきはばら でんおうーぐみ： ２０１１ーねん の なつやすみ
Akikan!,ja,1.0,empty can!,Akikan!,空き缶！
Akira,en,1.0,Akira,akira,アキラ
Aku no Hana,haw,0.72561634,Aku no Hana,Aku no Hana,Aku no Hana
Akubi Girl,ja,0.50451845,Yawn technique rl,Akubi Girl,あくび 技ｒｌ
Akuma no Riddle,ja,0.4116719,devil's lid,Akuma no Riddle,悪魔 の リッｄぇ
Akuma-kun,ha,0.77791256,Akuma-kun,Akuma-kun,Akuma-kun
Akuma-kun (Movie),ha,0.42320323,Akuma-kun (Movie),Akuma-kun (Movie),Akuma-kun (Movie)
Akuu Daisakusen Srungle,ja,0.93333983,Subspace Daisakusen Srunge,Akuu Daisakusen Srungle,亜空 大作戦 Ｓルンｇぇ
Aldnoah.Zero,en,0.0,Aldnoah.Zero,Aldnoah.Zero,Aldnoah.Zero
Aldnoah.Zero 2nd Season,en,0.88834244,Aldnoah.Zero 2nd Season,arudonoa・zero 2ndshiizun,アルドノア・ゼロ 2ndシーズン
Alexander Senki,hu,0.4809055,Alexander Senki,Alexander Senki,Alexander Senki
Alexander Senki Movie,hu,0.5102377,Alexander Senki Movie,Alexander Senki Movie,Alexander Senki Movie
Ali Baba to 40-hiki no Touzoku,ja,0.9826102,Ai Baba and the 40-draw thief,Ali Baba to 40-hiki no Touzoku,アィ 馬場 と ４０ー引き の 盗賊
Alice SOS,pt,0.2613283,Alice SOS,Alice SOS,Alice SOS
Allison to Lillia,en,0.6247135,Allison to Lillia,arisonkaraririahe,アリソンからリリアへ
Alps Monogatari: Watashi no Annette,ja,0.9857986,Alps story: my love,Alps Monogatari: Watashi no Annette,あｌｐｓ ものがたり： わたし の あんえって
Alps no Shoujo Heidi,en,0.44670048,Alps no Shoujo Heidi,arupusunoshoujohaiji,アルプスの少女ハイジ
Alps no Shoujo Heidi (1979),en,0.44670048,Alps no Shoujo Heidi (1979),arupusunoshoujohaiji (1979),アルプスの少女ハイジ (1979)
Alps no Shoujo Heidi: Alm no Yama-hen,ja,0.4349991,ALPS's Shojo Heidi: ALMS's Yamahen,Alps no Shoujo Heidi: Alm no Yama-hen,あｌｐｓ の しょうじょ へいぢ： あｌｍ の やまーへん
Alps no Shoujo Heidi: Heidi to Clara-hen,en,0.42836764,Alps no Shoujo Heidi: Heidi to Clara-hen,arupusunoshoujohaiji haijitokurarahen,アルプスの少女ハイジ ハイジとクララ編
Amaama to Inazuma,ja,0.69566756,sweet and lightning,Amaama to Inazuma,甘々 と 稲妻
Amagami SS,bn,0.73461413,Amagami SS,Amagami SS,Amagami SS
Amagami SS+ Plus,bn,0.6725676,Amagami SS+ Plus,Amagami SS+ Plus,Amagami SS+ Plus
Amagi Brilliant Park,kn,0.31041566,Amagi Brilliant Park,Amagi Brilliant Park,Amagi Brilliant Park
Amanatsu,ja,1.0,sweet summer,Amanatsu,甘夏
Amanchu!,qu,0.75,Amanchu!,Amanchu!,Amanchu!
Amatsuki,ja,1.0,Amatsuki,Amatsuki,天月
Ame-iro Cocoa,en,0.5419386,Ame-iro Cocoa,ameirokokoa,飴色ココア
Ame-iro Cocoa: Rainy Color e Youkoso!,en,0.2846854,Ame-iro Cocoa: Rainy Color e Youkoso!,Ame-iro Cocoa: Rainy Color e Youkoso!,Ame-iro Cocoa: Rainy Color e Youkoso!
Amnesia,en,0.98941797,Amnesia,kenboushou,健忘症
Anata wo Zutto Aishiteru,ja,1.0,I'll always love you,Anata wo Zutto Aishiteru,あなた を ずっと 愛してる
Andersen Douwa: Ningyohime,ja,0.9873734,Andersen Dowa: Ningyohime,Andersen Douwa: Ningyohime,あんでｒせん どうわ： にんぎょひめ
Andersen Monogatari,en,0.20117202,Andersen Monogatari,Andersen Monogatari,Andersen Monogatari
Andersen Monogatari (TV),en,0.19451687,Andersen Monogatari (TV),Andersen Monogatari (TV),Andersen Monogatari (TV)
Andes Shounen Pepero no Bouken,ja,0.9454046,Adventures of Pepero the boy,Andes Shounen Pepero no Bouken,あんでｓ 少年 ペペロ の 冒険
Android Ana Maico 2010,id,0.4688032,Android Ana Maico 2010,Android Ana Maico 2010,Android Ana Maico 2010
Ange Vierge,fr,1.0,Ange Vierge,Ange Vierge,Ange Vierge
Angel Beats!,en,1.0,Angel Beats!,enjierubiitsu!,エンジェルビーツ！
Angel Heart,en,1.0,Angel Heart,enjieruhaato,エンジェルハート
Anima,en,0.72774875,Anima,anima,アニマ
Animal Dance,en,0.84934604,Animal Dance,animarudansu,アニマルダンス
Animal Yokochou,en,0.2805573,Animal Yokochou,Animal Yokochou,Animal Yokochou
Animation Kikou: Marco Polo no Bouken,ja,0.2766085,Animation Kikou: Marco Polo no Bouken,Animation Kikou: Marco Polo no Bouken,Animation Kikou: Marco Polo no Bouken
Anime 80-nichikan Sekai Isshuu,ja,1.0,Anime Replaced with 80- Around the World,Anime 80-nichikan Sekai Isshuu,アニメ ８０ーに置換 世界 一周
Anime Himitsu no Hanazono,ja,1.0,anime secret garden,Anime Himitsu no Hanazono,アニメ 秘密 の 花園
Anime Oyako Gekijou,ja,1.0,anime parent and child theater,Anime Oyako Gekijou,アニメ 親子 劇場
Anime Sanjuushi,ja,0.95198715,anime three musketeers,Anime Sanjuushi,アニメ 三銃士
Anime Sanjuushi: Aramis no Bouken,ja,0.9848595,Anime Sanjuushi: Arami's Adventure,Anime Sanjuushi: Aramis no Bouken,あにめ さんじゅうし： あらみｓ の ぼうけん
Anime TV de Hakken! Tamagotchi,ja,0.92036766,Discovered on Anime TV! egg t ground,Anime TV de Hakken! Tamagotchi,アニメ ＴＶ で 発見！ 卵ｔ地
Anime Tenchou Movie,ja,0.38827828,Anime Manager Movie,Anime Tenchou Movie,アニメ 店長 もヴィエ
Anime Yasei no Sakebi,ja,1.0,anime wild cries,Anime Yasei no Sakebi,アニメ 野生 の 叫び
Anisava,mg,0.3056368,Anisava,Anisava,Anisava
Anitore! EX,ja,0.27767518,Anitore! EX,Anitore! EX,Anitore! EX
Anju to Zushioumaru,ja,0.85194343,Anju and Zushiomaru,Anju to Zushioumaru,アンジュ と 厨子王丸
Anmitsu Hime,ja,0.988031,Anmitsu Hime,Anmitsu Hime,あんみつ 姫
Anne Happy♪,en,0.9357429,Anne Happy♪,anhappii♪,アンハッピー♪
Anne no Nikki,ja,0.42563248,Anhui's diary,Anne no Nikki,安慧 の 日記
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,ja,1.0,We still don't know the name of the flower we saw.,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,あの 費 見た 花 の 名前 を 僕たち 和 まだ 知らない。
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,ja,1.0,We still don't know the name of the flower we saw. Movie,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,あの 費 見た 花 の 名前 を 僕たち 和 まだ 知らない。 もヴィエ
Ano Natsu de Matteru,ja,1.0,I'll be waiting in that summer,Ano Natsu de Matteru,あの 夏 で 待ってる
Another,en,1.0,Another,betsuno,別の
Ansatsu Kyoushitsu (TV),ja,1.0,Assassination Classroom (TV),Ansatsu Kyoushitsu (TV),暗殺 教室 （ＴＶ）
Ansatsu Kyoushitsu (TV) 2nd Season,ja,0.9867512,Assassination Classroom (TV) 2nd Se Asaomi,Ansatsu Kyoushitsu (TV) 2nd Season,暗殺 教室 （ＴＶ） ２んｄ せ朝臣
Ansatsu Kyoushitsu: 365-nichi no Jikan,ja,1.0,Answer: 365 years,Ansatsu Kyoushitsu: 365-nichi no Jikan,あんさつ きょうしつ： ３６５ーにち の じかん
Anyamal Tantei Kiruminzoo,ja,0.4198024,Aiyama L Detective Kiruminzoo,Anyamal Tantei Kiruminzoo,兄山ｌ 探偵 キルミンぞお
Ao Haru Ride,ja,0.533704,In the village of youth,Ao Haru Ride,青 春 里で
Ao no Exorcist,en,0.7453149,Ao no Exorcist,aonofutsumashi,青の祓魔師
Ao no Exorcist Movie,en,0.80976945,Ao no Exorcist Movie,eiga(aonofutsumashi),映画『青の祓魔師』
Ao no Kanata no Four Rhythm,en,0.26284933,Ao no Kanata no Four Rhythm,Ao no Kanata no Four Rhythm,Ao no Kanata no Four Rhythm
Aoharu x Kikanjuu,ja,0.700781,Aoharu x during period,Aoharu x Kikanjuu,アオハル ｘ 期間中
Aoi Blink,en,0.5129576,Aoi Blink,aoimabataki,葵まばたき
Aoi Bungaku Series,ja,0.9206512,blue literature series,Aoi Bungaku Series,青い 文学 セリエｓ
Aoi Hana,haw,0.68965447,Aoi Hana,Aoi Hana,Aoi Hana
Aoki Densetsu Shoot!,ja,0.9679672,Aoki Legend Tokorot!,Aoki Densetsu Shoot!,アオキ 伝説 所おｔ！
Aoki Densetsu Shoot! (Movie),ja,0.78049916,Aoki Legend Tokorot! (Movie),Aoki Densetsu Shoot! (Movie),アオキ 伝説 所おｔ！ （もヴィエ）
Aoki Hagane no Arpeggio: Ars Nova,ja,0.171162,Aoki Hagane no Arpeggio: Ars Nova,Aoki Hagane no Arpeggio: Ars Nova,Aoki Hagane no Arpeggio: Ars Nova
Aoki Hagane no Arpeggio: Ars Nova Cadenza,ja,0.22265697,Aoki Hagane no Arpeggio: Ars Nova Cadenza,Aoki Hagane no Arpeggio: Ars Nova Cadenza,Aoki Hagane no Arpeggio: Ars Nova Cadenza
Aoki Hagane no Arpeggio: Ars Nova DC,en,0.15204671,Aoki Hagane no Arpeggio: Ars Nova DC,Aoki Hagane no Arpeggio: Ars Nova DC,Aoki Hagane no Arpeggio: Ars Nova DC
Aoki Ryuusei SPT Layzner,ja,0.551918,Aoki Ryusei SPT yz value r,Aoki Ryuusei SPT Layzner,アオキ 流星 ＳＰＴ ァｙｚ値ｒ
Aos,pt,0.98046875,Aos,Aos,Aos
Apache Yakyuugun,mr,0.44866621,Apache Yakyuugun,Apache Yakyuugun,Apache Yakyuugun
Apfelland Monogatari,en,0.69905984,Apfelland Monogatari,aferurantomonogatari,アフェルラント物語
Appleseed (Movie),en,1.0,Appleseed (Movie),appurushiido (eiga),アップルシード (映画)
Appleseed Alpha,en,0.9086849,Appleseed Alpha,appurushiidoarufua,アップルシードアルファ
Appleseed Saga Ex Machina,en,0.7062624,Appleseed Saga Ex Machina,appurushiido saaga ekusu makina,アップルシード サーガ エクス マキナ
Appleseed XIII Remix Movie 1: Yuigon,en,0.58169895,Appleseed XIII Remix Movie 1: Yuigon,appurushiido XIII rimikkusumuubii 1: yuigon,アップルシード XIII リミックスムービー 1: ゆいごん
Appleseed XIII Remix Movie 2: Yogen,en,0.7900831,Appleseed XIII Remix Movie 2: Yogen,appurushiido XIII rimikkusumuubii 2: yoogen,アップルシード XIII リミックスムービー 2: ヨーゲン
Aquarian Age: Sign for Evolution,en,1.0,Aquarian Age: Sign for Evolution,akuerian'eiji:shinkahenosain,アクエリアンエイジ：進化へのサイン
Aquarion Evol,en,0.82369447,Aquarion Evol,akuerionEVOL,アクエリオンEVOL
Aquarion Logos,en,0.8642711,Aquarion Logos,akuerionnorogo,アクエリオンのロゴ
Aquarion Movie: Ippatsu Gyakuten-hen,ja,0.9715493,Akarion Moie: Ippatsu Gyakuten Hen,Aquarion Movie: Ippatsu Gyakuten-hen,あくありおん もゔぃえ： いっぱつ ぎゃくてんーへん
Arabian Nights: Sindbad no Bouken,en,0.42027208,Arabian Nights: Sindbad no Bouken,arabiannaito shindobaddonobouken,アラビアンナイト シンドバッドの冒険
Arabian Nights: Sindbad no Bouken (TV),en,0.36637676,Arabian Nights: Sindbad no Bouken (TV),arabiannaito shindobaddonobouken (TV),アラビアンナイト シンドバッドの冒険 (TV)
Arad Senki: Slap Up Party,hu,0.34126878,Arad Senki: Slap Up Party,Arad Senki: Slap Up Party,Arad Senki: Slap Up Party
Araiguma Rascal,en,0.64643466,Araiguma Rascal,araigumarasukaru,あらいぐまラスカル
Arakawa Under the Bridge,en,0.94315183,Arakawa Under the Bridge,arakawaandaazaburijji,荒川アンダーザブリッジ
Arakawa Under the Bridge x Bridge,en,0.9460893,Arakawa Under the Bridge x Bridge,arakawaandaazaburijjiandaazaburijjiburijji,荒川アンダーザブリッジ×ブリッジ
Arashi no Yoru ni,ja,1.0,on a stormy night,Arashi no Yoru ni,嵐 の 夜 に
Arashi no Yoru ni: Himitsu no Tomodachi,ja,1.0,According to the storm: secret friends,Arashi no Yoru ni: Himitsu no Tomodachi,あらし の よる に： ひみつ の ともだち
Arata Kangatari,mi,0.8634412,Arata Kangatari,Arata Kangatari,Arata Kangatari
Arc the Lad,en,1.0,Arc the Lad,aaku・za・raddo,アーク・ザ・ラッド
Are wa Dare?,ja,0.95157033,Who is that?,Are wa Dare?,アレ 和 誰？
Area 88 (TV),ro,0.51035947,Area 88 (TV),Area 88 (TV),Area 88 (TV)
Area 88 Movie,en,0.97815037,Area 88 Movie,eria88noeiga,エリア88の映画
Area no Kishi,ja,0.91959417,Knight of Alea,Area no Kishi,アレア の 騎士
Arei no Kagami: Way to the Virgin Space,en,0.78152263,Arei no Kagami: Way to the Virgin Space,areinokagami~shojokuukanhenomichi~,アレイの鏡～処女空間への道～
Arete Hime,en,0.586432,Arete Hime,ariitehime,アリーテヒメ
Argento Soma,en,0.4701039,Argento Soma,arujiento・sooma,アルジェント・ソーマ
Ari no Seikatsu,ja,1.0,Yes life,Ari no Seikatsu,あり の 生活
Ari to Hato (1959),gu,0.6513658,Ari to Hato (1959),Ari to Hato (1959),Ari to Hato (1959)
Ari to Kirigirisu,ja,1.0,Ant and Grasshopper,Ari to Kirigirisu,あり と キリギリス
Ari-chan,en,0.24327305,Ari-chan,Ari-chan,Ari-chan
Aria The Animation,en,1.0,Aria The Animation,aria ji animeeshon,アリア ジ アニメーション
Aria The Natural,en,0.83166695,Aria The Natural,aria za nachuraru,アリア ザ ナチュラル
Aria The Origination,en,1.0,Aria The Origination,aria ji orijineeshon,アリア ジ オリジネーション
Arion,en,0.8211921,Arion,arion,アリオン
Ark,en,0.95250666,Ark,hakobune,箱舟
Armageddon,en,1.0,Armageddon,harumagedon,ハルマゲドン
Armitage III: Dual-Matrix,en,0.8414932,Armitage III: Dual-Matrix,aamiteeji III: deyuaru matorikkusu,アーミテージ III: デュアル マトリックス
Armitage III: Poly-Matrix,en,0.7195298,Armitage III: Poly-Matrix,aamiteeji III: porimatorikkusu,アーミテージ III: ポリマトリックス
Around,en,1.0,Around,sonomawari,その周り
Arrow Emblem Grand Prix no Taka,en,0.68500966,Arrow Emblem Grand Prix no Taka,arooenburemuguranpurinotaka,アローエンブレムグランプリの鷹
Arslan Senki (TV),tr,0.33008555,Arslan Senki (TV),Arslan Senki (TV),Arslan Senki (TV)
Arslan Senki (TV): Fuujin Ranbu,ja,0.49721894,Arsan Senki (TV): Fuujin Ranbu,Arslan Senki (TV): Fuujin Ranbu,あｒｓぁん せんき （ＴＶ）： ふうじん らんぶ
Aru Machi Kado no Monogatari,ja,1.0,Story of a certain town gate,Aru Machi Kado no Monogatari,ある 街 門 の 物語
Arve Rezzle: Kikaijikake no Yousei-tachi,ja,1.0,Arゔe → E: Kikaijikake no Yosei-tachi,Arve Rezzle: Kikaijikake no Yousei-tachi,あｒゔぇ れっ→え： きかいじかけ の ようせいーたち
Asagiri no Miko,ja,1.0,Asagiri Shrine Maiden,Asagiri no Miko,朝霧 の 巫女
Asari-chan,hi,0.17537963,Asari-chan,Asari-chan,Asari-chan
