name,english,japanese,kanji
Aa! Megami-sama! Movie,Ah! My Goddess: The Movie,gekijouban aatsumegamisamatsu,劇場版　ああっ女神さまっ
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,Oh! My Goddess: The Adventures of Mini-Goddess,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,ああっ女神さまっ 小っちゃいって事は便利だねっ
Aa! Megami-sama!: Sorezore no Tsubasa,ah! Megami-sama! : Each wing,Aa! Megami-sama!: Sorezore no Tsubasa,ああ！ めがみーさま！： それぞれ の つばさ
Aachi wa Ssipak,Aachi and Ssipak,Aachi wa Ssipak,Aachi wa Ssipak
Abarenbou Rikishi!! Matsutarou,Rowdy Sumo Wrestler Matsutaro!!,Abarenbou Rikishi!! Matsutarou,暴れん坊力士！！松太郎
Abenobashi Mahou☆Shoutengai,Magical☆Shopping Arcade Abenobashi,Abenobashi Mahou☆Shoutengai,アベノ橋魔法☆商店街
Accel World,Accel World,akuseru・waarudo,アクセル・ワールド
Accel World: Infinite∞Burst,Accel World: Infinite∞Burst,akuseru・waarudo INFINITE∞BURST(infinitto・baasuto),アクセル・ワールド INFINITE∞BURST（インフィニット・バースト）
Acchi Kocchi,Place to Place,Acchi Kocchi,あっちこっち
Acchi Kocchi (TV),Acchi Kocchi (TV),Acchi Kocchi (TV),Acchi Kocchi (TV)
Ace wo Nerae!,Aim for sweat!,Ace wo Nerae!,エースをねらえ!
Ace wo Nerae! (1979),Aim for the Ace! (1979),Ace wo Nerae! (1979),エースをねらえ！
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,Active Raid,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,アクティヴレイド　－機動強襲室第八係－
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,Active Raid Second,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,アクティヴレイド　－機動強襲室第八係－ 2nd
Adachi-ga Hara,Adachi is angry,Adachi-ga Hara,安達が原
Adventures in Beauty Wonderland,Adventures in Beauty Wonderland,byuuteii wandaarandonobouken,ビューティー ワンダーランドの冒険
Afro Samurai,Afro Samurai,afurosamurai,アフロサムライ
Afro Samurai Movie,Afro Samurai the Movie,Afro Samurai Movie,Afro Samurai Movie
Afro Samurai: Resurrection,Afro Samurai: Resurrection,afurosamurai Resurrection,アフロサムライ Resurrection
After War Gundam X,After War Gundam X,kidoushinseikigandamuX,機動新世紀ガンダムX
Agatha Christie no Meitantei Poirot to Marple,Agatha Christie's Great Detectives Poirot and Marple,agasa・kurisuteiinomeitanteipowarotomaapuru,アガサ・クリスティーの名探偵ポワロとマープル
Agigongryong Doolie (2009),Little Dino Dooly (2009),Agigongryong Doolie (2009),Agigongryong Doolie (2009)
Agigongryong Doolie (Movie),Baby Titanosaur Dooly: Adventure in the Ice Star,agigonryon・douurii (eiga),アギゴンリョン・ドゥーリー (映画)
Ahiru Rikusentai,Duck Brigade,Ahiru Rikusentai,あひる陸戰隊
Ahiru no Otegara,Duck's exploits,Ahiru no Otegara,アヒル の お手柄
Ai,Love,ai,アイ
Ai City,Love City,ai・shitei,アイ・シティ
Ai Shoujo Pollyanna Story,Ai Shoujo Pollyanna Story,eotomeporiannamonogatari,愛少女ポリアンナ物語
Ai Tenchi Muyou!,Ai Tenchi Muyou!,Ai Tenchi Muyou!,Ai Tenchi Muyou!
Ai Tenshi Densetsu Wedding Peach,Wedding Peach,Ai Tenshi Densetsu Wedding Peach,愛天使伝説 ウェディングピーチ
Ai no Gakko Cuore Monogatari,Gakko Cuore Story of Love,Ai no Gakko Cuore Monogatari,愛 の ガッコ クオレ 物語
Ai no Senshi Rainbowman,Warrior of Love Line Book W Man,Ai no Senshi Rainbowman,愛の戦士レインボーマン
Ai no Wakakusa Monogatari,Tales of Little Women,Ai no Wakakusa Monogatari,愛の若草物語
Ai no Wakakusa Yama Monogatari,Wakakusa Mountain Story of Love,Ai no Wakakusa Yama Monogatari,愛の若草山物語
Ai to Yuuki no Pig Girl Tonde Buurin,Super Pig,Ai to Yuuki no Pig Girl Tonde Buurin,愛と勇気のピッグガール　とんでぶーりん
Aikatsu!,Aikatsu!,Aikatsu!,アイカツ！アイドルカツドウ！
Aikatsu! Movie,Aikatsu! Movie,Aikatsu! Movie,劇場版 アイカツ！アイドルカツドウ！
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,aikatsu!myuujikkuawaado minnadeshouwomoratchaimaSHOW!,アイカツ！ミュージックアワード　みんなで賞をもらっちゃいまSHOW！
Air,Air,kuuki,空気
Air Gear,Air Gear,ea・gia,エア・ギア
Air Master,Air Master,eamasutaa,エアマスター
Air Movie,Air: The Motion Picture,gekijoubanAIR,劇場版AIR
Aishite Knight,Rock'n Roll Kids,Aishite Knight,愛してナイト
Aishiteruze Baby★★,Aishiteruze Baby★★,Aishiteruze Baby★★,愛してるぜ ベイベ★★
Aitsu to Lullaby: Suiyobi no Cinderella,That guy and by: I'm in love with him.,Aitsu to Lullaby: Suiyobi no Cinderella,あいつとララバイ　水曜日のシンデレラ
Aiura,Aiura,aiura,あいうら
Ajin,Ajin: Demi-Human,tsuguto,亜人
Ajin Part 1: Shoudou,Ajin: Demi-Human Movie 1: Compel,tsuguto daiichibu(shoudou),亜人　第１部「衝動」
Ajin Part 2: Shoutotsu,Ajin: Demi-Human Movie 2: Confront,Ajin Part 2: Shoutotsu,亜人　第２部「衝突」
Ajin Part 3: Shougeki,Ajin: Demi-Human Movie 3: Collide,Ajin Part 3: Shougeki,亜人 第3部「衝戟」
Akachan to Boku,Baby and Me,Akachan to Boku,赤ちゃんと僕
Akadou Suzunosuke,Akado Suzunosuke,Akadou Suzunosuke,赤胴鈴之助
Akagami no Shirayuki-hime,Snow White with the Red Hair,Akagami no Shirayuki-hime,赤髪の白雪姫
Akagami no Shirayuki-hime 2nd Season,Snow White with the Red Hair 2,Akagami no Shirayuki-hime 2nd Season,赤髪の白雪姫
Akage no Anne,Anne of Green Gables,Akage no Anne,赤毛のアン
Akage no Anne: Green Gables e no Michi,Akage no Ane: Gren ga bes E no Michi,Akage no Anne: Green Gables e no Michi,赤毛のアン グリーンゲーブルズへの道
Akahori Gedou Hour Rabuge,Akahori's Heretical Hour Love Game,akahorigaidouawaarabuge,あかほり外道アワーらぶげ
Akai Koudan Zillion,Zillion,akaikoudanjirion,赤い光弾ジリオン
Akai Kutsu! Onnanoko!,Red shoes! girl!,Akai Kutsu! Onnanoko!,赤い 靴！ 女の子！
Akakichi no Eleven,Even of the Red Base,Akakichi no Eleven,赤き血のイレブン
Akame ga Kill!,Akame ga Kill!,akamegakiru!,アカメが斬る！
Akane-chan,Little Miss Akane,akanechan,あかねちゃん
Akatsuki no Yona,Yona of the Dawn,Akatsuki no Yona,暁のヨナ
Akazukin Chacha,Red Riding Hood Chacha,Akazukin Chacha,赤ずきんチャチャ
Aki no Kanade,Autumn Kanade,Aki no Kanade,アキの奏で
Aki no Puzzle,Puzzle of Autumn,akinopazuru,秋のパズル
Akiba-chan,Akiba-chan,akibachan,アキバちゃん
Akihabara Dennou-gumi,Cyber Team in Akihabara,akihabaradennoukumi,アキハバラ電脳組
Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,Cyber Team in Akihabara: 2011 Summer Vacations,Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,劇場版 アキハバラ電脳組 2011年の夏休み
Akikan!,Akikan!,Akikan!,アキカン!
Akira,Akira,AKIRA(akira),AKIRA（アキラ）
Aku no Hana,Flowers of Evil,akunohana,惡の華
Akubi Girl,Yawn technique rl,Akubi Girl,アクビガール
Akuma no Riddle,Riddle Story of Devil,Akuma no Riddle,悪魔のリドル
Akuma-kun,Akuma-kun,akumakun,悪魔くん
Akuma-kun (Movie),Akuma-kun (Movie),akumakun,悪魔くん
Akuu Daisakusen Srungle,Macron One,Akuu Daisakusen Srungle,亜空大作戦　スラングル
Aldnoah.Zero,Aldnoah.Zero,arudonoa・zero,アルドノア・ゼロ
Aldnoah.Zero 2nd Season,Aldnoah.Zero 2nd Season,arudonoa・zero 2ndshiizun,アルドノア・ゼロ 2ndシーズン
Alexander Senki,Reign: The Conqueror,arekusandaasenki,アレクサンダー戦記
Alexander Senki Movie,Reign: The Conqueror Movie,arekusandaasenki gekijouban,アレクサンダー戦記 劇場版
Ali Baba to 40-hiki no Touzoku,Ai Baba and the 40-draw thief,Ali Baba to 40-hiki no Touzoku,アリババと４０匹の盗賊
Alice SOS,Alice SOS,arisuSOS,アリスＳＯＳ
Allison to Lillia,Allison & Lillia,arisontoriria,アリソンとリリア
Alps Monogatari: Watashi no Annette,Alps story: my love,Alps Monogatari: Watashi no Annette,アルプス物語　わたしのアンネット
Alps no Shoujo Heidi,Heidi: Girl of the Alps,arupusunoshoujohaiji,アルプスの少女ハイジ
Alps no Shoujo Heidi (1979),The Story of Heidi,arupusunoshoujohaiji (1979),アルプスの少女ハイジ (1979)
Alps no Shoujo Heidi: Alm no Yama-hen,ALPS's Shojo Heidi: ALMS's Yamahen,Alps no Shoujo Heidi: Alm no Yama-hen,アルプスの少女ハイジ アルムの山編
Alps no Shoujo Heidi: Heidi to Clara-hen,Alps no Shoujo Heidi: Heidi to Clara-hen,arupusunoshoujohaiji haijitokurarahen,アルプスの少女ハイジ ハイジとクララ編
Amaama to Inazuma,Sweetness & Lightning,Amaama to Inazuma,甘々と稲妻
Amagami SS,Amagami SS,amagamiSS,アマガミSS
Amagami SS+ Plus,Amagami SS+ plus,amagamiSS+ plus,アマガミSS+ plus
Amagi Brilliant Park,Amagi Brilliant Park,kanshirobuririantopaaku,甘城ブリリアントパーク
Amanatsu,sweet summer,Amanatsu,アマナツ
Amanchu!,Amanchu!,amanchu!,あまんちゅ！
Amatsuki,Amatsuki,Amatsuki,あまつき
Ame-iro Cocoa,Rainy Cocoa,ameshokukokoa,雨色ココア
Ame-iro Cocoa: Rainy Color e Youkoso!,"Rainy Cocoa, Welcome to Rainy Color",ameshokukokoa Rainy colorheyoukoso!,雨色ココア Rainy colorへようこそ！
Amnesia,Amnesia,kenboushou,健忘症
Anata wo Zutto Aishiteru,I'll always love you,Anata wo Zutto Aishiteru,あなたをずっとあいしてる
Andersen Douwa: Ningyohime,Hans Christian Anderson's The Little Mermaid,Andersen Douwa: Ningyohime,アンデルセン童話 にんぎょ姫
Andersen Monogatari,The World of Hans Christian Andersen,anderusenmonogatari,アンデルセン物語
Andersen Monogatari (TV),Andersen Monogatari (TV),anderusenmonogatari,アンデルセン物語
Andes Shounen Pepero no Bouken,Adventures of Pepero the Andes Boy,Andes Shounen Pepero no Bouken,アンデス少年ペペロの冒険
Android Ana Maico 2010,Android Announcer Maico 2010,andoroido・ana MAICO 2010,アンドロイド・アナ　MAICO ２０１０
Ange Vierge,Ange Vierge,anju・vieruju,アンジュ・ヴィエルジュ
Angel Beats!,Angel Beats!,Angel Beats!(enjierubiitsu!),Angel Beats!（エンジェルビーツ!）
Angel Heart,Angel Heart,enjieru・haato,エンジェル・ハート
Anima,Anima,anima,アニマ
Animal Dance,Animal Dance,animarudansu,アニマルダンス
Animal Yokochou,Animal Lane,animaruyokochou,アニマル横町
Animation Kikou: Marco Polo no Bouken,Marco Polo's Adventures,animeeshonkikou maruko・pooronobouken,アニメーション紀行 マルコ・ポーロの冒険
Anime 80-nichikan Sekai Isshuu,Around the World with Willy Fog,Anime 80-nichikan Sekai Isshuu,アニメ80日間世界一周
Anime Himitsu no Hanazono,The Secret Garden,Anime Himitsu no Hanazono,アニメ ひみつの花園
Anime Oyako Gekijou,Superbook,Anime Oyako Gekijou,アニメ 親子劇場
Anime Sanjuushi,The Three Musketeers,Anime Sanjuushi,アニメ三銃士
Anime Sanjuushi: Aramis no Bouken,The Three Musketeers: Aramis the Adventure,Anime Sanjuushi: Aramis no Bouken,アニメ三銃士　アラミスの冒険
Anime TV de Hakken! Tamagotchi,Animated Tamagotchi Found on Television!,Anime TV de Hakken! Tamagotchi,アニメ　ＴＶで発見！！　たまごっち
Anime Tenchou Movie,Anime Manager Movie,Anime Tenchou Movie,アニメ店長 激情版
Anime Yasei no Sakebi,Call of the wild,Anime Yasei no Sakebi,アニメ野性のさけび
Anisava,Anisava,Anisava,Anisava
Anitore! EX,Anime de Training! Ex,anitore!EX,あにトレ！ＥＸ
Anju to Zushioumaru,Anju and Zushiomaru,Anju to Zushioumaru,安寿と厨子王丸
Anmitsu Hime,Princess Anmitsu,Anmitsu Hime,あんみつ姫
Anne Happy♪,Anne-Happy,anhapi♪,あんハピ♪
Anne no Nikki,The Diary of Anne Frank,Anne no Nikki,アンネの日記
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Anohana: The Flower We Saw That Day,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,あの日見た花の名前を僕達はまだ知らない。
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,Anohana: The Flower We Saw That Day The Movie,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,劇場版 あの日見た花の名前を僕達はまだ知らない。
Ano Natsu de Matteru,Waiting in the Summer,Ano Natsu de Matteru,あの夏で待ってる
Another,Another,anazaa,アナザー
Ansatsu Kyoushitsu (TV),Assassination Classroom (TV),Ansatsu Kyoushitsu (TV),暗殺 教室 （ＴＶ）
Ansatsu Kyoushitsu (TV) 2nd Season,Assassination Classroom (TV) 2nd Se Asaomi,Ansatsu Kyoushitsu (TV) 2nd Season,暗殺 教室 （ＴＶ） ２んｄ せ朝臣
Ansatsu Kyoushitsu: 365-nichi no Jikan,Assassination Classroom The Movie: 365 Days' Time,Ansatsu Kyoushitsu: 365-nichi no Jikan,劇場版 暗殺教室 365日の時間
Anyamal Tantei Kiruminzoo,Aiyama L Detective Kiruminzoo,Anyamal Tantei Kiruminzoo,あにゃまる探偵 キルミンずぅ
Ao Haru Ride,Blue Spring Ride,Ao Haru Ride,アオハライド
Ao no Exorcist,Blue Exorcist,aonofutsumashi(ekusoshisuto),青の祓魔師(エクソシスト)
Ao no Exorcist Movie,Blue Exorcist The Movie,gekijouban aonofutsumashi(ekusoshisuto),劇場版 青の祓魔師（エクソシスト）
Ao no Kanata no Four Rhythm,Aokana: Four Rhythm Across the Blue,aonokanatanofoorizumu,蒼の彼方のフォーリズム
Aoharu x Kikanjuu,Aoharu x Machinegun,Aoharu x Kikanjuu,青春×機関銃
Aoi Blink,Blue Blink,aoiburinku,青いブリンク
Aoi Bungaku Series,blue literature series,Aoi Bungaku Series,青い文学シリーズ
Aoi Hana,Sweet Blue Flowers,aoihana,青い花
Aoki Densetsu Shoot!,Blue Legend Shoot!,Aoki Densetsu Shoot!,蒼き伝説　シュート！
Aoki Densetsu Shoot! (Movie),Blue Legend Shoot!,Aoki Densetsu Shoot! (Movie),蒼き伝説　シュート！
Aoki Hagane no Arpeggio: Ars Nova,Arpeggio of Blue Steel -Ars Nova-,aokikounoarupejio ‐arusu・novua‐,蒼き鋼のアルペジオ ‐アルス・ノヴァ‐
Aoki Hagane no Arpeggio: Ars Nova Cadenza,Aoki Hagane no Arpeggio: Ars Nova Cadenza,Aoki Hagane no Arpeggio: Ars Nova Cadenza,Aoki Hagane no Arpeggio: Ars Nova Cadenza
Aoki Hagane no Arpeggio: Ars Nova DC,Aoki Hagane no Arpeggio: Ars Nova DC,Aoki Hagane no Arpeggio: Ars Nova DC,Aoki Hagane no Arpeggio: Ars Nova DC
Aoki Ryuusei SPT Layzner,Blue Comet SPT Layzner,Aoki Ryuusei SPT Layzner,蒼き流星SPTレイズナー
Aos,Aos,aosu,アオス
Apache Yakyuugun,Apache Baseball Team,apatchiyakyuugun,アパッチ野球軍
Apfelland Monogatari,Appleland Story,appuferurantomonogatari,アップフェルラント物語
Appleseed (Movie),Appleseed (Movie),appurushiido,アップルシード
Appleseed Alpha,Appleseed Alpha,appurushiidoarufua,アップルシードアルファ
Appleseed Saga Ex Machina,Appleseed: Ex Machina,ekusumakina,エクスマキナ
Appleseed XIII Remix Movie 1: Yuigon,Appleseed XIII Remix Movie 1: Yuigon,gekijourimikkusuhan APPLESEED XIII ~yuigon~,劇場リミックス版 APPLESEED XIII ～遺言～
Appleseed XIII Remix Movie 2: Yogen,Appleseed XIII Remix Movie 2: Yogen,gekijourimikkusuhan APPLESEED XIII ~yogen~,劇場リミックス版 APPLESEED XIII ～予言～
Aquarian Age: Sign for Evolution,Aquarian Age: Sign for Evolution,akuerian'eiji Sign for Evolution,アクエリアンエイジ Sign for Evolution
Aquarion Evol,Aquarion Evol,akuerionEVOL,アクエリオンEVOL
Aquarion Logos,Aquarion Logos,akuerionrogosu,アクエリオンロゴス
Aquarion Movie: Ippatsu Gyakuten-hen,Akarion Moie: Ippatsu Gyakuten Hen,Aquarion Movie: Ippatsu Gyakuten-hen,劇場版アクエリオン -壱発逆転篇-
Arabian Nights: Sindbad no Bouken,Arabian Nights: Sindbad no Bouken,arabiannaito shindobaddonobouken,アラビアンナイト シンドバッドの冒険
Arabian Nights: Sindbad no Bouken (TV),Arabian Nights: Sinbad's Adventures,arabiannaito shindobattonobouken,アラビアンナイト シンドバットの冒険
Arad Senki: Slap Up Party,Arad Senki: Slap Up Party,aradosenki ~surappuappupaateii~,アラド戦記 ～スラップアップパーティー～
Araiguma Rascal,Raccoon Rascal,araigumarasukaru,あらいぐまラスカル
Arakawa Under the Bridge,Arakawa Under the Bridge,arakawaandaa za burijji,荒川アンダー ザ ブリッジ
Arakawa Under the Bridge x Bridge,Arakawa Under the Bridge x Bridge,arakawaandaa zaburijjizaburijjiburijji,荒川アンダー ザブリッジ×ブリッジ
Arashi no Yoru ni,on a stormy night,Arashi no Yoru ni,あらしのよるに
Arashi no Yoru ni: Himitsu no Tomodachi,According to the storm: secret friends,Arashi no Yoru ni: Himitsu no Tomodachi,あらしのよるに ひみつのともだち
Arata Kangatari,Arata: The Legend,aratakangatari~kawashingo~,アラタカンガタリ～革神語～
Arc the Lad,Arc the Lad,aakuzaraddo,アークザラッド
Are wa Dare?,Who's That?,Are wa Dare?,あれはだれ?
Area 88 (TV),Area 88 (TV),eria88,エリア８８
Area 88 Movie,Area 88 Movie,eria88 gekijouban,エリア88 劇場版
Area no Kishi,The Knight in the Area,Area no Kishi,エリアの騎士
Arei no Kagami: Way to the Virgin Space,Arei's Mirror ~ Way to the Virgin Space,areinokagami ~ Way to the Virgin Space,アレイの鏡 ~ Way to the Virgin Space
Arete Hime,Princess Arete,ariitehime,アリーテ姫
Argento Soma,Argento Soma,arujiento sooma,アルジェント ソーマ
Ari no Seikatsu,Yes life,Ari no Seikatsu,蟻の生活
Ari to Hato (1959),Ari to Hato (1959),aritohato,ありとはと
Ari to Kirigirisu,Ant and Grasshopper,Ari to Kirigirisu,ありときりぎりす
Ari-chan,Arichan the Ant,arichan,アリチャン
Aria The Animation,Aria The Animation,aria ji animeeshon,アリア ジ アニメーション
Aria The Natural,Aria The Natural,aria za nachuraru,アリア ザ ナチュラル
Aria The Origination,Aria The Origination,aria ji orijineeshon,アリア ジ オリジネーション
Arion,Arion,neo・hiroikku・fuantajia arion,ネオ・ヒロイック・ファンタジア　アリオン
Ark,Ark,hakobune,箱舟
Armageddon,Armageddon,harumagedon,ハルマゲドン
Armitage III: Dual-Matrix,Armitage III: Dual-Matrix,amiteeji・za・saado DUAL-MATRIX,アミテージ・ザ・サード DUAL-MATRIX
Armitage III: Poly-Matrix,Armitage III: Poly-Matrix,amiteeji・za・saado POLY-MATRIX,アミテージ・ザ・サード POLY-MATRIX
Around,Around,sonomawari,その周り
Arrow Emblem Grand Prix no Taka,Super Grand Prix,arooenburemu guranpurinotaka,アローエンブレム　グランプリの鷹
Arslan Senki (TV),The Heroic Legend of Arslan,arusuraansenki,アルスラーン戦記
Arslan Senki (TV): Fuujin Ranbu,The Heroic Legend of Arslan: Dust Storm Dance,Arslan Senki (TV): Fuujin Ranbu,アルスラーン戦記 風塵乱舞
Aru Machi Kado no Monogatari,Tales of the Street Corner,Aru Machi Kado no Monogatari,ある街角の物語
Arve Rezzle: Kikaijikake no Yousei-tachi,Arゔe → E: Kikaijikake no Yosei-tachi,Arve Rezzle: Kikaijikake no Yousei-tachi,アルヴ・レズル -機械仕掛けの妖精たち-
Asagiri no Miko,Shrine of the Morning Mist,Asagiri no Miko,朝霧の巫女
Asari-chan,Asari-chan,asarichan,あさりちゃん
Asari-chan: Ai no Marchen Shoujo,Super Gal Asari: The Dreaming Girl in Fairy World,Asari-chan: Ai no Marchen Shoujo,あさりちゃん 愛のメルヘン少女
Asatte no Houkou.,Living for the Day After Tomorrow,Asatte no Houkou.,あさっての方向。
Ashita Genki ni Nare!: Hanbun no Satsumaimo,Tomorrow Will Become Better!: Half a Sweet Potato,Ashita Genki ni Nare!: Hanbun no Satsumaimo,あした元気にな～れ!～半分のさつまいも～
Ashita Tenki ni Naare,A Great Super Shot Boy,Ashita Tenki ni Naare,あした天気になあれ
Ashita e Attack!,Attack on Tomorrow,Ashita e Attack!,あしたへアタック！
Ashita e Free Kick,Ashita e Free Kick,ashitahefuriikikku,あしたへフリーキック
Ashita no Joe,Tomorrow's Joe,Ashita no Joe,あしたのジョー
Ashita no Joe (Movie),Tomorrow's Joe (Movie),Ashita no Joe (Movie),あしたのジョー (1980)
Ashita no Joe 2,Tomorrow's Joe 2,Ashita no Joe 2,あしたのジョー２
Ashita no Joe 2 (Movie),Tomorrow's Joe 2 (Movie),Ashita no Joe 2 (Movie),あしたのジョー２
Ashita no Nadja,Tomorrow's Nadja,Ashita no Nadja,明日のナージャ
Asobot Senki Gokuu,Monkey Typhoon,asobottosenkigokyuu,アソボット戦記五九
Asobou! Hello Kitty,Asobou! Hello Kitty,asobou!! harookitei,あそぼう!! ハローキティ
Astarotte no Omocha!,Astarotte's Toy,Astarotte no Omocha!,アスタロッテのおもちゃ！
Astro Boy: Tetsuwan Atom,Astro Boy (2003),asutorobooi・tetsuwanatomu,アストロボーイ・鉄腕アトム
Astroganger,Astroganger,asutorogangaa,アストロガンガー
Asura,Asura,ashura,アシュラ
Asylum Session,The Asylum Session,ajiiru・sesshon,アジール・セッション
Atagoal wa Neko no Mori,Atagoal - Cat's Magical Forest,Atagoal wa Neko no Mori,アタゴオルは猫の森
Atama Yama,Mt. Head,Atama Yama,頭山
Attack No.1,There was a ck. 1,Attack No.1,アタックNo.1
Attack No.1 (1970),There was a ck. 1 (1970),Attack No.1 (1970),アタックNo.1 (1970)
Attack No.1: Namida no Fushichou,There was a ck. 1: Namida no Fushicho,Attack No.1: Namida no Fushichou,アタックNo.1 涙の不死鳥
Attack No.1: Namida no Kaiten Receive,There was a ck. 1: Namida no Kaiten Reseii,Attack No.1: Namida no Kaiten Receive,アタックNo.1 涙の回転レシーブ
Attack No.1: Namida no Sekai Senshuken,There was a ck. 1: Namida no Sekai Senshuken,Attack No.1: Namida no Sekai Senshuken,アタックNo.1 涙の世界選手権
Attacker You!,Attacker You!,atakkaaYOU!,アタッカーＹＯＵ！
Audition,Audition,oodishon,オーディション
Aura Battler Dunbine,Aura Battler Dunbine,Aura Battler Dunbine,Aura Battler Dunbine
Aura: Maryuuin Kouga Saigo no Tatakai,Aura: Koga Maryuin's Last War,Aura: Maryuuin Kouga Saigo no Tatakai,AURA～魔竜院光牙最後の闘い～
Auto Mommy,Auto Mommy,ootomamii,オートマミー
Avenger,Avenger,avenjaa,アヴェンジャー
Avengers Confidential: Black Widow to Punisher,Marvel Avengers Confidential: Black Widow & Punisher,abenjaazu konfidensharu: burakkuuidoutopanisshaa,アベンジャーズ コンフィデンシャル: ブラックウィドウとパニッシャー
Ayakashi,Ayakashi,Ayakashi,アヤカシ
Ayakashi: Japanese Classic Horror,Ayakashi: Japanese Classic Horror,kai~ayakashi~ Japanese Classic Horror,怪～ayakashi～ Japanese Classic Horror
Ayashi no Ceres,"Ceres, Celestial Legend",Ayashi no Ceres,妖しのセレス
Azuki-chan,Azuki-chan,Azuki-chan,あずきちゃん
Azuki-chan the Movie,Azuki-chan the Movie,azukichan howaito・barentain♥ koinochansugayattekita!!,あずきちゃん ホワイト・バレンタイン♥ 恋のチャンスがやってきた!!
Azumanga Daioh,Azumanga Daioh,Azumanga Daioh,Azumanga Daioh
B Gata H Kei,B type H type,B Gata H Kei,Ｂ 型 Ｈ 系
B-Densetsu! Battle Bedaman,B-Legend! Punishment Bedman,B-Densetsu! Battle Bedaman,Ｂー伝説！ 罰ｔぇ べだまん
B-Densetsu! Battle Bedaman Enkon,B-Legend! Punishment Bedaman Grudge,B-Densetsu! Battle Bedaman Enkon,Ｂー伝説！ 罰ｔぇ べだまん 怨恨
B-Project: Kodou＊Ambitious,B-Project: Kodou＊Ambitious,B-Project:kodou*anbishasu,B-Project：鼓動＊アンビシャス
BAR Kiraware Yasai,Place R Hated Vegetables,BAR Kiraware Yasai,BAR 嫌われ野菜
